device,context,time,gpu util (%),memory util (%),total memory (MB),free memory (MB),used memory (MB),memory reserved by torch (MB),cupy memory (MB)
0,,2023-06-01 11:08:10,0.00,0.00,49140,48176,964,138,0
0,,2023-06-01 11:08:11,0.00,0.00,49140,48176,964,138,0
0,,2023-06-01 11:08:12,0.00,0.00,49140,48176,964,138,0
0,,2023-06-01 11:08:13,0.00,0.00,49140,48176,964,138,0
0,,2023-06-01 11:08:14,0.00,0.00,49140,48176,964,138,0
0,,2023-06-01 11:08:15,0.00,0.00,49140,48176,964,138,0
0,,2023-06-01 11:08:16,0.00,0.00,49140,48176,964,138,0
0,,2023-06-01 11:08:17,0.00,0.00,49140,48176,964,138,0
0,,2023-06-01 11:08:18,0.00,0.00,49140,48176,964,138,0
0,,2023-06-01 11:08:19,0.00,0.00,49140,48176,964,138,0
0,,2023-06-01 11:08:20,0.00,0.00,49140,48176,964,138,0
0,,2023-06-01 11:08:21,0.00,0.00,49140,48176,964,138,0
0,,2023-06-01 11:08:22,0.00,0.00,49140,48176,964,138,0
0,,2023-06-01 11:08:23,0.00,0.00,49140,48176,964,138,0
0,,2023-06-01 11:08:24,0.00,0.00,49140,48176,964,138,0
0,,2023-06-01 11:08:25,0.00,0.00,49140,48176,964,138,0
0,,2023-06-01 11:08:26,0.00,0.00,49140,48176,964,138,0
0,,2023-06-01 11:08:27,0.00,0.00,49140,48176,964,138,0
0,,2023-06-01 11:08:28,0.00,0.00,49140,48176,964,138,0
0,,2023-06-01 11:08:29,0.00,0.00,49140,48176,964,138,0
0,,2023-06-01 11:08:30,0.00,0.00,49140,48176,964,138,0
0,,2023-06-01 11:08:31,0.00,0.00,49140,48176,964,138,0
0,,2023-06-01 11:08:32,0.00,0.00,49140,48176,964,138,0
0,,2023-06-01 11:08:33,0.00,0.00,49140,48176,964,138,0
0,,2023-06-01 11:08:34,0.00,0.00,49140,48176,964,138,0
0,,2023-06-01 11:08:35,0.00,0.00,49140,48176,964,138,0
0,,2023-06-01 11:08:36,0.00,0.00,49140,48176,964,138,0
0,,2023-06-01 11:08:37,0.03,0.00,49140,47666,1474,138,0
0,,2023-06-01 11:08:38,0.01,0.00,49140,46558,2582,138,0
0,,2023-06-01 11:08:39,0.00,0.00,49140,46158,2982,138,0
0,,2023-06-01 11:08:40,0.00,0.00,49140,46134,3006,138,0
0,,2023-06-01 11:08:41,0.00,0.00,49140,46132,3008,138,0
0,,2023-06-01 11:08:42,0.00,0.00,49140,46132,3008,138,0
0,,2023-06-01 11:08:43,0.00,0.00,49140,46132,3008,138,0
0,,2023-06-01 11:08:44,0.00,0.00,49140,46132,3008,138,0
0,,2023-06-01 11:08:45,0.00,0.00,49140,46132,3008,138,0
0,,2023-06-01 11:08:46,0.00,0.00,49140,46132,3008,138,0
0,,2023-06-01 11:08:47,0.00,0.00,49140,46132,3008,138,0
0,,2023-06-01 11:08:48,0.00,0.00,49140,46124,3016,138,0
0,,2023-06-01 11:08:49,0.00,0.00,49140,46124,3016,138,0
0,,2023-06-01 11:08:50,0.00,0.00,49140,46124,3016,138,0
0,,2023-06-01 11:08:51,0.00,0.00,49140,46124,3016,138,0
0,,2023-06-01 11:08:52,0.00,0.00,49140,46122,3018,138,0
0,,2023-06-01 11:08:53,0.13,0.05,49140,45866,3274,382,0
0,,2023-06-01 11:08:54,0.12,0.05,49140,45728,3412,510,0
0,,2023-06-01 11:08:55,0.37,0.17,49140,45314,3826,900,0
0,,2023-06-01 11:08:56,0.29,0.13,49140,45566,3574,648,0
0,,2023-06-01 11:08:57,0.00,0.00,49140,43750,5390,2454,0
0,,2023-06-01 11:08:58,0.25,0.10,49140,41326,7814,2454,0
0,,2023-06-01 11:08:59,0.28,0.12,49140,42106,7034,1672,0
0,,2023-06-01 11:09:00,0.29,0.13,49140,42112,7028,1666,0
0,,2023-06-01 11:09:01,0.13,0.01,49140,41436,7704,2342,0
0,,2023-06-01 11:09:02,0.27,0.12,49140,41822,7318,1956,0
0,,2023-06-01 11:09:03,0.28,0.15,49140,41946,7194,1832,0
0,,2023-06-01 11:09:04,0.00,0.00,49140,41950,7190,1828,0
0,,2023-06-01 11:09:05,0.28,0.13,49140,41950,7190,1828,0
0,,2023-06-01 11:09:06,0.30,0.14,49140,41950,7190,1828,0
0,,2023-06-01 11:09:07,0.00,0.00,49140,41788,7352,1990,0
0,,2023-06-01 11:09:08,0.38,0.19,49140,41782,7358,1996,0
0,,2023-06-01 11:09:09,0.35,0.15,49140,41950,7190,1828,0
0,,2023-06-01 11:09:10,0.00,0.00,49140,41660,7480,2118,0
0,,2023-06-01 11:09:11,0.33,0.16,49140,41660,7480,2118,0
0,,2023-06-01 11:09:12,0.55,0.34,49140,41656,7484,2122,0
0,,2023-06-01 11:09:13,0.00,0.00,49140,41660,7480,2118,0
0,,2023-06-01 11:09:14,0.29,0.13,49140,41656,7484,2122,0
