device,context,time,utilization,total memory (MB),free memory (MB),used memory (MB),memory not used by torch (MB)
0,,2023-05-29 13:33:44,0,49140,48176,964,455
0,,2023-05-29 13:33:45,0,49140,48176,964,455
0,,2023-05-29 13:33:46,0,49140,48176,964,455
0,,2023-05-29 13:33:47,0,49140,48176,964,455
0,,2023-05-29 13:33:48,0,49140,48176,964,455
0,,2023-05-29 13:33:49,0,49140,48176,964,455
0,,2023-05-29 13:33:50,0,49140,48176,964,455
0,,2023-05-29 13:33:51,0,49140,48176,964,455
0,,2023-05-29 13:33:52,0,49140,48176,964,455
0,,2023-05-29 13:33:53,0,49140,48176,964,455
0,,2023-05-29 13:33:54,0,49140,48176,964,455
0,,2023-05-29 13:33:55,0,49140,48176,964,455
0,,2023-05-29 13:33:56,0,49140,48176,964,455
0,,2023-05-29 13:33:57,0,49140,48176,964,455
0,,2023-05-29 13:33:58,0,49140,48176,964,455
0,,2023-05-29 13:33:59,0,49140,48176,964,455
0,,2023-05-29 13:34:00,0,49140,48176,964,455
0,,2023-05-29 13:34:01,0,49140,48176,964,455
0,,2023-05-29 13:34:02,0,49140,48176,964,455
0,,2023-05-29 13:34:03,8,49140,47606,1534,455
0,,2023-05-29 13:34:04,0,49140,47808,1332,455
0,,2023-05-29 13:34:05,0,49140,47808,1332,455
0,,2023-05-29 13:34:06,0,49140,47764,1376,455
0,,2023-05-29 13:34:07,1,49140,47700,1440,455
0,,2023-05-29 13:34:08,0,49140,47698,1442,455
0,,2023-05-29 13:34:09,0,49140,47698,1442,455
0,,2023-05-29 13:34:10,0,49140,47698,1442,455
0,,2023-05-29 13:34:11,0,49140,47698,1442,455
0,,2023-05-29 13:34:12,0,49140,47698,1442,455
0,,2023-05-29 13:34:13,0,49140,47698,1442,455
0,,2023-05-29 13:34:14,0,49140,47698,1442,455
0,,2023-05-29 13:34:15,0,49140,47690,1450,455
0,,2023-05-29 13:34:16,0,49140,47690,1450,455
0,,2023-05-29 13:34:17,0,49140,47690,1450,455
0,,2023-05-29 13:34:18,0,49140,47690,1450,455
0,,2023-05-29 13:34:19,0,49140,47690,1450,455
0,,2023-05-29 13:34:20,0,49140,47688,1452,455
0,,2023-05-29 13:34:21,0,49140,47726,1414,455
0,,2023-05-29 13:34:22,1,49140,47324,1816,455
0,,2023-05-29 13:34:23,3,49140,47120,2020,455
0,,2023-05-29 13:34:24,0,49140,47488,1652,455
0,,2023-05-29 13:34:25,36,49140,47108,2032,455
0,,2023-05-29 13:34:26,33,49140,47242,1898,455
0,,2023-05-29 13:34:27,0,49140,45346,3794,455
0,,2023-05-29 13:34:28,0,49140,45346,3794,455
0,,2023-05-29 13:34:29,6,49140,45656,3484,455
0,,2023-05-29 13:34:30,43,49140,46654,2486,455
0,,2023-05-29 13:34:31,38,49140,46570,2570,455
0,,2023-05-29 13:34:32,0,49140,46278,2862,455
0,,2023-05-29 13:34:33,0,49140,46278,2862,455
0,,2023-05-29 13:34:34,0,49140,46278,2862,455
0,,2023-05-29 13:34:35,0,49140,46278,2862,455
0,,2023-05-29 13:34:36,35,49140,46526,2614,455
