device,context,time,utilization,total memory (MB),free memory (MB),used memory (MB),memory not used by torch (MB)
0,,2023-06-03 19:28:15,0,49140,48176,964,455
0,,2023-06-03 19:28:16,0,49140,48176,964,455
0,,2023-06-03 19:28:17,0,49140,48176,964,455
0,,2023-06-03 19:28:18,0,49140,48176,964,455
0,,2023-06-03 19:28:19,0,49140,48176,964,455
0,,2023-06-03 19:28:20,0,49140,48176,964,455
0,,2023-06-03 19:28:21,0,49140,48176,964,455
0,,2023-06-03 19:28:22,0,49140,48176,964,455
0,,2023-06-03 19:28:23,0,49140,48176,964,455
0,,2023-06-03 19:28:24,0,49140,48176,964,455
0,,2023-06-03 19:28:25,0,49140,48176,964,455
0,,2023-06-03 19:28:26,0,49140,48176,964,455
0,,2023-06-03 19:28:27,0,49140,48176,964,455
0,,2023-06-03 19:28:28,0,49140,48176,964,455
0,,2023-06-03 19:28:29,0,49140,48176,964,455
0,,2023-06-03 19:28:30,0,49140,48176,964,455
0,,2023-06-03 19:28:31,0,49140,48176,964,455
0,,2023-06-03 19:28:32,1,49140,48176,964,455
0,,2023-06-03 19:28:33,0,49140,48176,964,455
0,,2023-06-03 19:28:34,0,49140,48176,964,455
0,,2023-06-03 19:28:35,0,49140,48176,964,455
0,,2023-06-03 19:28:36,2,49140,47840,1300,455
0,,2023-06-03 19:28:37,3,49140,47458,1682,455
0,,2023-06-03 19:28:38,0,49140,47400,1740,455
0,,2023-06-03 19:28:39,0,49140,47400,1740,455
0,,2023-06-03 19:28:40,0,49140,47400,1740,455
0,,2023-06-03 19:28:41,0,49140,47152,1988,455
0,,2023-06-03 19:28:42,0,49140,47142,1998,455
0,,2023-06-03 19:28:43,0,49140,45938,3202,455
0,,2023-06-03 19:28:44,1,49140,45938,3202,455
0,,2023-06-03 19:28:45,0,49140,45938,3202,455
0,,2023-06-03 19:28:46,0,49140,45552,3588,455
0,,2023-06-03 19:28:47,0,49140,45552,3588,455
0,,2023-06-03 19:28:48,0,49140,45552,3588,455
0,,2023-06-03 19:28:49,22,49140,45552,3588,455
0,,2023-06-03 19:28:50,22,49140,45552,3588,455
0,,2023-06-03 19:28:51,12,49140,45552,3588,455
0,,2023-06-03 19:28:52,1,49140,44894,4246,455
0,,2023-06-03 19:28:53,1,49140,44356,4784,455
0,,2023-06-03 19:28:54,1,49140,44356,4784,455
0,,2023-06-03 19:28:55,1,49140,44356,4784,455
0,,2023-06-03 19:28:56,1,49140,44356,4784,455
0,,2023-06-03 19:28:57,1,49140,44356,4784,455
0,,2023-06-03 19:28:58,1,49140,44356,4784,455
0,,2023-06-03 19:28:59,22,49140,44356,4784,455
0,,2023-06-03 19:29:00,0,49140,44356,4784,455
0,,2023-06-03 19:29:01,1,49140,44356,4784,455
0,,2023-06-03 19:29:02,0,49140,44222,4918,455
0,,2023-06-03 19:29:03,1,49140,44222,4918,455
0,,2023-06-03 19:29:04,3,49140,44222,4918,455
0,,2023-06-03 19:29:05,14,49140,44222,4918,455
0,,2023-06-03 19:29:06,22,49140,44222,4918,455
0,,2023-06-03 19:29:07,1,49140,44222,4918,455
0,,2023-06-03 19:29:08,1,49140,44222,4918,455
0,,2023-06-03 19:29:09,1,49140,44222,4918,455
0,,2023-06-03 19:29:10,1,49140,44222,4918,455
0,,2023-06-03 19:29:11,0,49140,44222,4918,455
0,,2023-06-03 19:29:12,1,49140,44222,4918,455
0,,2023-06-03 19:29:13,1,49140,44222,4918,455
0,,2023-06-03 19:29:14,1,49140,44222,4918,455
0,,2023-06-03 19:29:15,1,49140,44222,4918,455
0,,2023-06-03 19:29:16,7,49140,44222,4918,455
0,,2023-06-03 19:29:17,22,49140,44222,4918,455
0,,2023-06-03 19:29:18,22,49140,44222,4918,455
0,,2023-06-03 19:29:19,0,49140,44222,4918,455
0,,2023-06-03 19:29:20,1,49140,44222,4918,455
0,,2023-06-03 19:29:21,11,49140,44094,5046,455
0,,2023-06-03 19:29:22,4,49140,44094,5046,455
0,,2023-06-03 19:29:23,1,49140,44094,5046,455
0,,2023-06-03 19:29:24,0,49140,44094,5046,455
0,,2023-06-03 19:29:25,23,49140,44094,5046,455
0,,2023-06-03 19:29:26,65,49140,44094,5046,455
0,,2023-06-03 19:29:27,0,49140,44094,5046,455
0,,2023-06-03 19:29:28,0,49140,44094,5046,455
0,,2023-06-03 19:29:29,0,49140,44094,5046,455
0,,2023-06-03 19:29:30,0,49140,44094,5046,455
0,,2023-06-03 19:29:31,1,49140,44094,5046,455
0,,2023-06-03 19:29:32,1,49140,44094,5046,455
0,,2023-06-03 19:29:33,1,49140,44094,5046,455
0,,2023-06-03 19:29:34,1,49140,44094,5046,455
0,,2023-06-03 19:29:35,1,49140,44094,5046,455
0,,2023-06-03 19:29:36,11,49140,44094,5046,455
0,,2023-06-03 19:29:37,11,49140,44094,5046,455
0,,2023-06-03 19:29:39,1,49140,44094,5046,455
0,,2023-06-03 19:29:40,1,49140,44094,5046,455
0,,2023-06-03 19:29:41,9,49140,44094,5046,455
0,,2023-06-03 19:29:42,0,49140,44094,5046,455
0,,2023-06-03 19:29:43,0,49140,44094,5046,455
0,,2023-06-03 19:29:44,16,49140,44094,5046,455
0,,2023-06-03 19:29:45,0,49140,44094,5046,455
0,,2023-06-03 19:29:46,0,49140,44094,5046,455
0,,2023-06-03 19:29:47,0,49140,44094,5046,455
0,,2023-06-03 19:29:48,0,49140,44094,5046,455
0,,2023-06-03 19:29:49,0,49140,44094,5046,455
0,,2023-06-03 19:29:50,0,49140,44094,5046,455
0,,2023-06-03 19:29:51,0,49140,44094,5046,455
0,,2023-06-03 19:29:52,0,49140,44094,5046,455
0,,2023-06-03 19:29:53,22,49140,44094,5046,455
0,,2023-06-03 19:29:54,61,49140,43828,5312,455
0,,2023-06-03 19:29:55,0,49140,43828,5312,455
0,,2023-06-03 19:29:56,11,49140,43828,5312,455
0,,2023-06-03 19:29:57,22,49140,43828,5312,455
0,,2023-06-03 19:29:58,22,49140,43828,5312,455
0,,2023-06-03 19:29:59,0,49140,43828,5312,455
0,,2023-06-03 19:30:00,1,49140,43828,5312,455
0,,2023-06-03 19:30:01,0,49140,43828,5312,455
0,,2023-06-03 19:30:02,0,49140,43828,5312,455
0,,2023-06-03 19:30:03,0,49140,43828,5312,455
0,,2023-06-03 19:30:04,0,49140,43828,5312,455
0,,2023-06-03 19:30:05,0,49140,43828,5312,455
0,,2023-06-03 19:30:06,0,49140,43828,5312,455
0,,2023-06-03 19:30:07,1,49140,43828,5312,455
0,,2023-06-03 19:30:08,19,49140,43828,5312,455
0,,2023-06-03 19:30:09,21,49140,43828,5312,455
0,,2023-06-03 19:30:10,21,49140,43828,5312,455
0,,2023-06-03 19:30:11,14,49140,43828,5312,455
0,,2023-06-03 19:30:12,17,49140,43828,5312,455
0,,2023-06-03 19:30:13,41,49140,43828,5312,455
0,,2023-06-03 19:30:14,1,49140,43828,5312,455
0,,2023-06-03 19:30:15,22,49140,43828,5312,455
0,,2023-06-03 19:30:16,0,49140,43828,5312,455
0,,2023-06-03 19:30:17,1,49140,43828,5312,455
0,,2023-06-03 19:30:18,22,49140,43828,5312,455
0,,2023-06-03 19:30:19,65,49140,43828,5312,455
0,,2023-06-03 19:30:20,1,49140,43828,5312,455
0,,2023-06-03 19:30:21,0,49140,43828,5312,455
0,,2023-06-03 19:30:22,22,49140,43828,5312,455
0,,2023-06-03 19:30:23,0,49140,43828,5312,455
0,,2023-06-03 19:30:24,1,49140,43828,5312,455
0,,2023-06-03 19:30:25,20,49140,43828,5312,455
0,,2023-06-03 19:30:26,1,49140,43828,5312,455
0,,2023-06-03 19:30:27,1,49140,43828,5312,455
0,,2023-06-03 19:30:28,22,49140,43828,5312,455
0,,2023-06-03 19:30:29,22,49140,43828,5312,455
0,,2023-06-03 19:30:30,1,49140,43828,5312,455
0,,2023-06-03 19:30:31,22,49140,43828,5312,455
0,,2023-06-03 19:30:32,22,49140,43828,5312,455
0,,2023-06-03 19:30:33,0,49140,43828,5312,455
0,,2023-06-03 19:30:34,0,49140,43828,5312,455
0,,2023-06-03 19:30:35,0,49140,43828,5312,455
0,,2023-06-03 19:30:36,1,49140,43828,5312,455
0,,2023-06-03 19:30:37,0,49140,43828,5312,455
0,,2023-06-03 19:30:38,3,49140,43828,5312,455
0,,2023-06-03 19:30:39,0,49140,43828,5312,455
0,,2023-06-03 19:30:40,1,49140,43828,5312,455
0,,2023-06-03 19:30:41,0,49140,43828,5312,455
0,,2023-06-03 19:30:42,0,49140,43828,5312,455
0,,2023-06-03 19:30:43,1,49140,43828,5312,455
0,,2023-06-03 19:30:44,1,49140,43828,5312,455
0,,2023-06-03 19:30:45,0,49140,43828,5312,455
0,,2023-06-03 19:30:46,0,49140,43828,5312,455
0,,2023-06-03 19:30:47,0,49140,43828,5312,455
0,,2023-06-03 19:30:48,0,49140,43828,5312,455
0,,2023-06-03 19:30:49,22,49140,43828,5312,455
0,,2023-06-03 19:30:50,0,49140,43828,5312,455
0,,2023-06-03 19:30:51,1,49140,43828,5312,455
0,,2023-06-03 19:30:52,0,49140,43828,5312,455
0,,2023-06-03 19:30:53,22,49140,43828,5312,455
0,,2023-06-03 19:30:54,56,49140,43828,5312,455
0,,2023-06-03 19:30:55,0,49140,43828,5312,455
0,,2023-06-03 19:30:56,0,49140,43828,5312,455
0,,2023-06-03 19:30:57,21,49140,43828,5312,455
0,,2023-06-03 19:30:58,1,49140,43828,5312,455
0,,2023-06-03 19:30:59,17,49140,43828,5312,455
0,,2023-06-03 19:31:00,1,49140,43828,5312,455
0,,2023-06-03 19:31:01,0,49140,43828,5312,455
0,,2023-06-03 19:31:02,0,49140,43828,5312,455
0,,2023-06-03 19:31:03,22,49140,43828,5312,455
0,,2023-06-03 19:31:04,22,49140,43828,5312,455
0,,2023-06-03 19:31:05,22,49140,43828,5312,455
0,,2023-06-03 19:31:06,1,49140,43828,5312,455
0,,2023-06-03 19:31:07,1,49140,43828,5312,455
0,,2023-06-03 19:31:08,19,49140,43828,5312,455
0,,2023-06-03 19:31:09,0,49140,43828,5312,455
0,,2023-06-03 19:31:10,1,49140,43828,5312,455
0,,2023-06-03 19:31:11,22,49140,43828,5312,455
0,,2023-06-03 19:31:12,1,49140,43828,5312,455
0,,2023-06-03 19:31:13,22,49140,43828,5312,455
0,,2023-06-03 19:31:14,1,49140,43828,5312,455
0,,2023-06-03 19:31:15,24,49140,43828,5312,455
0,,2023-06-03 19:31:16,0,49140,43828,5312,455
0,,2023-06-03 19:31:17,0,49140,43828,5312,455
0,,2023-06-03 19:31:18,21,49140,43828,5312,455
0,,2023-06-03 19:31:19,1,49140,43828,5312,455
0,,2023-06-03 19:31:20,1,49140,43828,5312,455
0,,2023-06-03 19:31:21,0,49140,43828,5312,455
0,,2023-06-03 19:31:22,1,49140,43828,5312,455
0,,2023-06-03 19:31:23,1,49140,43828,5312,455
0,,2023-06-03 19:31:24,21,49140,43828,5312,455
0,,2023-06-03 19:31:25,1,49140,43828,5312,455
0,,2023-06-03 19:31:26,1,49140,43828,5312,455
0,,2023-06-03 19:31:27,22,49140,43828,5312,455
0,,2023-06-03 19:31:28,22,49140,43828,5312,455
0,,2023-06-03 19:31:29,10,49140,43828,5312,455
0,,2023-06-03 19:31:30,22,49140,43828,5312,455
0,,2023-06-03 19:31:31,22,49140,43828,5312,455
0,,2023-06-03 19:31:32,1,49140,43828,5312,455
0,,2023-06-03 19:31:33,22,49140,43828,5312,455
0,,2023-06-03 19:31:34,1,49140,43828,5312,455
0,,2023-06-03 19:31:35,22,49140,43828,5312,455
0,,2023-06-03 19:31:36,0,49140,43828,5312,455
0,,2023-06-03 19:31:37,1,49140,43828,5312,455
0,,2023-06-03 19:31:38,0,49140,43828,5312,455
0,,2023-06-03 19:31:39,0,49140,43828,5312,455
0,,2023-06-03 19:31:40,22,49140,43828,5312,455
0,,2023-06-03 19:31:41,12,49140,43828,5312,455
0,,2023-06-03 19:31:42,0,49140,43828,5312,455
0,,2023-06-03 19:31:43,0,49140,43828,5312,455
0,,2023-06-03 19:31:44,0,49140,43828,5312,455
0,,2023-06-03 19:31:45,1,49140,43828,5312,455
0,,2023-06-03 19:31:46,1,49140,43828,5312,455
0,,2023-06-03 19:31:47,22,49140,43828,5312,455
0,,2023-06-03 19:31:48,51,49140,43828,5312,455
0,,2023-06-03 19:31:49,1,49140,43828,5312,455
0,,2023-06-03 19:31:50,1,49140,43828,5312,455
0,,2023-06-03 19:31:51,22,49140,43828,5312,455
0,,2023-06-03 19:31:52,11,49140,43828,5312,455
0,,2023-06-03 19:31:53,1,49140,43828,5312,455
0,,2023-06-03 19:31:54,65,49140,43828,5312,455
0,,2023-06-03 19:31:55,3,49140,43828,5312,455
0,,2023-06-03 19:31:56,22,49140,43828,5312,455
0,,2023-06-03 19:31:57,22,49140,43828,5312,455
0,,2023-06-03 19:31:58,22,49140,43828,5312,455
0,,2023-06-03 19:31:59,5,49140,43828,5312,455
0,,2023-06-03 19:32:00,22,49140,43828,5312,455
0,,2023-06-03 19:32:01,1,49140,43828,5312,455
0,,2023-06-03 19:32:02,1,49140,43828,5312,455
0,,2023-06-03 19:32:03,0,49140,43828,5312,455
0,,2023-06-03 19:32:04,1,49140,43828,5312,455
0,,2023-06-03 19:32:05,22,49140,43828,5312,455
0,,2023-06-03 19:32:06,1,49140,43828,5312,455
