device,context,time,utilization,total memory (MB),free memory (MB),used memory (MB),memory not used by torch (MB),cupy memory (MB)
3,,2023-05-31 17:43:17,2,49140,48176,964,455,0
3,,2023-05-31 17:43:18,29,49140,48176,964,455,0
3,,2023-05-31 17:43:19,62,49140,48176,964,455,0
3,,2023-05-31 17:43:20,78,49140,48176,964,455,0
3,,2023-05-31 17:43:21,85,49140,48176,964,455,0
3,,2023-05-31 17:43:22,100,49140,48176,964,455,0
3,,2023-05-31 17:43:23,100,49140,48176,964,455,0
3,,2023-05-31 17:43:24,100,49140,48176,964,455,0
3,,2023-05-31 17:43:25,100,49140,48176,964,455,0
3,,2023-05-31 17:43:26,99,49140,48176,964,455,0
3,,2023-05-31 17:43:27,97,49140,48176,964,455,0
3,,2023-05-31 17:43:28,100,49140,48176,964,455,0
3,,2023-05-31 17:43:29,36,49140,48176,964,455,0
3,,2023-05-31 17:43:30,0,49140,48176,964,455,0
3,,2023-05-31 17:43:31,1,49140,48176,964,455,0
3,,2023-05-31 17:43:32,73,49140,48176,964,455,0
3,,2023-05-31 17:43:33,96,49140,47670,1470,455,0
3,,2023-05-31 17:43:34,100,49140,46558,2582,455,0
3,,2023-05-31 17:43:35,75,49140,46158,2982,455,0
3,,2023-05-31 17:43:36,5,49140,46124,3016,455,0
3,,2023-05-31 17:43:37,4,49140,46122,3018,455,0
3,,2023-05-31 17:43:38,22,49140,45866,3274,455,0
3,,2023-05-31 17:43:39,58,49140,45832,3308,455,0
3,,2023-05-31 17:43:40,87,49140,45512,3628,455,0
3,,2023-05-31 17:43:41,97,49140,46028,3112,455,0
3,,2023-05-31 17:43:42,0,49140,45412,3728,455,0
3,,2023-05-31 17:43:43,0,49140,44960,4180,455,0
3,,2023-05-31 17:43:44,0,49140,45236,3904,455,0
3,,2023-05-31 17:43:45,0,49140,43952,5188,455,0
3,,2023-05-31 17:43:46,0,49140,42740,6400,455,0
3,,2023-05-31 17:43:47,0,49140,42740,6400,455,0
3,,2023-05-31 17:43:48,0,49140,42818,6322,455,0
3,,2023-05-31 17:43:49,0,49140,42818,6322,455,0
3,,2023-05-31 17:43:50,0,49140,42526,6614,455,0
3,,2023-05-31 17:43:51,0,49140,42812,6328,455,0
3,,2023-05-31 17:43:52,0,49140,42706,6434,455,0
3,,2023-05-31 17:43:53,0,49140,42542,6598,455,0
3,,2023-05-31 17:43:54,0,49140,42544,6596,455,0
3,,2023-05-31 17:43:55,0,49140,42836,6304,455,0
3,,2023-05-31 17:43:56,0,49140,42708,6432,455,0
3,,2023-05-31 17:43:57,0,49140,42608,6532,455,0
3,,2023-05-31 17:43:58,0,49140,41672,7468,455,0
3,,2023-05-31 17:43:59,0,49140,42836,6304,455,0
3,,2023-05-31 17:44:01,0,49140,41416,7724,455,0
3,,2023-05-31 17:44:02,0,49140,42608,6532,455,0
3,,2023-05-31 17:44:03,0,49140,42670,6470,455,0
3,,2023-05-31 17:44:04,0,49140,42738,6402,455,0
3,,2023-05-31 17:44:05,0,49140,42412,6728,455,0
3,,2023-05-31 17:44:06,0,49140,42414,6726,455,0
3,,2023-05-31 17:44:07,0,49140,42708,6432,455,0
3,,2023-05-31 17:44:08,0,49140,40834,8306,455,0
3,,2023-05-31 17:44:09,0,49140,42382,6758,455,0
3,,2023-05-31 17:44:10,0,49140,42284,6856,455,0
3,,2023-05-31 17:44:11,78,49140,42672,6468,455,0
3,,2023-05-31 17:44:12,100,49140,42476,6664,455,0
3,,2023-05-31 17:44:13,4,49140,42768,6372,455,0
3,,2023-05-31 17:44:14,4,49140,42764,6376,455,0
3,,2023-05-31 17:44:15,5,49140,42606,6534,455,0
3,,2023-05-31 17:44:16,0,49140,42834,6306,455,0
3,,2023-05-31 17:44:17,3,49140,42578,6562,455,0
3,,2023-05-31 17:44:18,0,49140,42706,6434,455,0
3,,2023-05-31 17:44:19,1,49140,42414,6726,455,0
3,,2023-05-31 17:44:20,1,49140,42416,6724,455,0
3,,2023-05-31 17:44:21,1,49140,42672,6468,455,0
3,,2023-05-31 17:44:22,2,49140,42476,6664,455,0
3,,2023-05-31 17:44:23,100,49140,42834,6306,455,0
3,,2023-05-31 17:44:24,100,49140,42706,6434,455,0
3,,2023-05-31 17:44:25,6,49140,42834,6306,455,0
3,,2023-05-31 17:44:26,1,49140,42606,6534,455,0
3,,2023-05-31 17:44:27,21,49140,42606,6534,455,0
3,,2023-05-31 17:44:28,3,49140,42606,6534,455,0
3,,2023-05-31 17:44:29,2,49140,42658,6482,455,0
3,,2023-05-31 17:44:30,2,49140,42574,6566,455,0
3,,2023-05-31 17:44:31,2,49140,42380,6760,455,0
3,,2023-05-31 17:44:32,100,49140,42706,6434,455,0
3,,2023-05-31 17:44:33,6,49140,42702,6438,455,0
3,,2023-05-31 17:44:34,6,49140,42380,6760,455,0
3,,2023-05-31 17:44:35,0,49140,42416,6724,455,0
3,,2023-05-31 17:44:36,2,49140,42834,6306,455,0
3,,2023-05-31 17:44:37,2,49140,42706,6434,455,0
3,,2023-05-31 17:44:38,2,49140,42606,6534,455,0
3,,2023-05-31 17:44:39,2,49140,42656,6484,455,8
3,,2023-05-31 17:44:40,1,49140,42832,6308,455,0
3,,2023-05-31 17:44:41,100,49140,42606,6534,455,0
3,,2023-05-31 17:44:42,5,49140,42704,6436,455,0
3,,2023-05-31 17:44:43,9,49140,42832,6308,455,0
3,,2023-05-31 17:44:44,8,49140,42572,6568,455,0
3,,2023-05-31 17:44:45,1,49140,42444,6696,455,0
3,,2023-05-31 17:44:46,2,49140,42606,6534,455,0
3,,2023-05-31 17:44:47,2,49140,42280,6860,455,0
3,,2023-05-31 17:44:48,3,49140,42280,6860,455,0
3,,2023-05-31 17:44:49,100,49140,42444,6696,455,0
3,,2023-05-31 17:44:50,100,49140,42316,6824,455,0
3,,2023-05-31 17:44:51,7,49140,42444,6696,455,0
3,,2023-05-31 17:44:52,0,49140,42280,6860,455,0
3,,2023-05-31 17:44:53,18,49140,42280,6860,455,0
3,,2023-05-31 17:44:54,3,49140,42280,6860,455,0
3,,2023-05-31 17:44:55,3,49140,42444,6696,455,0
3,,2023-05-31 17:44:56,1,49140,42444,6696,455,0
3,,2023-05-31 17:44:57,1,49140,42280,6860,455,0
3,,2023-05-31 17:44:58,1,49140,42444,6696,455,0
3,,2023-05-31 17:44:59,100,49140,42444,6696,455,0
3,,2023-05-31 17:45:00,30,49140,42444,6696,455,0
3,,2023-05-31 17:45:01,4,49140,42152,6988,455,0
3,,2023-05-31 17:45:02,4,49140,42282,6858,455,0
3,,2023-05-31 17:45:04,0,49140,42314,6826,455,0
3,,2023-05-31 17:45:05,8,49140,42186,6954,455,0
3,,2023-05-31 17:45:06,1,49140,42316,6824,455,0
3,,2023-05-31 17:45:07,2,49140,42316,6824,455,0
3,,2023-05-31 17:45:08,1,49140,42152,6988,455,0
3,,2023-05-31 17:45:09,1,49140,42316,6824,455,0
3,,2023-05-31 17:45:10,1,49140,42316,6824,455,0
3,,2023-05-31 17:45:11,1,49140,41928,7212,455,0
3,,2023-05-31 17:45:12,100,49140,42316,6824,455,0
3,,2023-05-31 17:45:13,18,49140,42316,6824,455,0
3,,2023-05-31 17:45:14,4,49140,42316,6824,455,0
3,,2023-05-31 17:45:15,4,49140,41990,7150,455,0
3,,2023-05-31 17:45:16,0,49140,42188,6952,455,0
3,,2023-05-31 17:45:17,6,49140,42188,6952,455,0
3,,2023-05-31 17:45:18,1,49140,42060,7080,455,0
3,,2023-05-31 17:45:19,1,49140,42188,6952,455,0
3,,2023-05-31 17:45:20,1,49140,42188,6952,455,0
3,,2023-05-31 17:45:21,2,49140,41802,7338,455,0
3,,2023-05-31 17:45:22,1,49140,42112,7028,455,0
3,,2023-05-31 17:45:23,1,49140,42274,6866,455,0
3,,2023-05-31 17:45:24,100,49140,42274,6866,455,0
3,,2023-05-31 17:45:25,100,49140,41930,7210,455,0
3,,2023-05-31 17:45:26,10,49140,41930,7210,455,0
3,,2023-05-31 17:45:27,4,49140,42316,6824,455,16
3,,2023-05-31 17:45:28,20,49140,42316,6824,455,0
3,,2023-05-31 17:45:29,2,49140,41992,7148,455,0
3,,2023-05-31 17:45:30,2,49140,41992,7148,455,0
3,,2023-05-31 17:45:31,3,49140,41992,7148,455,0
3,,2023-05-31 17:45:32,100,49140,41992,7148,455,0
3,,2023-05-31 17:45:33,6,49140,42314,6826,455,0
3,,2023-05-31 17:45:34,8,49140,42316,6824,455,0
3,,2023-05-31 17:45:35,4,49140,42154,6986,455,0
3,,2023-05-31 17:45:36,2,49140,42314,6826,455,0
3,,2023-05-31 17:45:37,2,49140,42316,6824,455,0
3,,2023-05-31 17:45:38,2,49140,42154,6986,455,0
3,,2023-05-31 17:45:39,2,49140,42316,6824,455,0
3,,2023-05-31 17:45:40,100,49140,42186,6954,455,0
3,,2023-05-31 17:45:41,100,49140,42316,6824,455,0
3,,2023-05-31 17:45:42,8,49140,41930,7210,455,0
3,,2023-05-31 17:45:43,7,49140,42186,6954,455,0
3,,2023-05-31 17:45:44,22,49140,42316,6824,455,0
3,,2023-05-31 17:45:45,2,49140,41990,7150,455,0
3,,2023-05-31 17:45:46,2,49140,42188,6952,455,0
3,,2023-05-31 17:45:47,2,49140,42856,6284,455,0
3,,2023-05-31 17:45:48,3,49140,42726,6414,455,0
3,,2023-05-31 17:45:49,100,49140,42594,6546,455,0
3,,2023-05-31 17:45:50,6,49140,42856,6284,455,0
3,,2023-05-31 17:45:51,7,49140,42856,6284,455,0
3,,2023-05-31 17:45:52,0,49140,42780,6360,455,0
3,,2023-05-31 17:45:53,2,49140,42814,6326,455,0
3,,2023-05-31 17:45:54,1,49140,42728,6412,455,0
3,,2023-05-31 17:45:55,2,49140,40986,8154,455,0
3,,2023-05-31 17:45:56,2,49140,42438,6702,455,0
3,,2023-05-31 17:45:57,100,49140,42636,6504,455,0
3,,2023-05-31 17:45:58,100,49140,42984,6156,455,0
3,,2023-05-31 17:45:59,4,49140,42660,6480,455,0
3,,2023-05-31 17:46:00,4,49140,42660,6480,455,0
3,,2023-05-31 17:46:01,0,49140,42984,6156,455,0
3,,2023-05-31 17:46:03,0,49140,42660,6480,455,0
3,,2023-05-31 17:46:04,4,49140,42984,6156,455,0
3,,2023-05-31 17:46:05,1,49140,42728,6412,455,0
3,,2023-05-31 17:46:06,1,49140,42984,6156,455,0
3,,2023-05-31 17:46:07,1,49140,42660,6480,455,0
3,,2023-05-31 17:46:08,1,49140,42600,6540,455,0
3,,2023-05-31 17:46:09,2,49140,42728,6412,455,0
3,,2023-05-31 17:46:10,8,49140,42532,6608,455,0
3,,2023-05-31 17:46:11,100,49140,42728,6412,455,0
3,,2023-05-31 17:46:12,6,49140,42856,6284,455,0
3,,2023-05-31 17:46:13,5,49140,42532,6608,455,0
3,,2023-05-31 17:46:14,0,49140,42692,6448,455,0
3,,2023-05-31 17:46:15,2,49140,42566,6574,455,0
3,,2023-05-31 17:46:16,3,49140,42052,7088,455,0
3,,2023-05-31 17:46:17,2,49140,42490,6650,455,0
3,,2023-05-31 17:46:18,3,49140,42566,6574,455,0
3,,2023-05-31 17:46:19,2,49140,42566,6574,455,0
3,,2023-05-31 17:46:20,100,49140,42404,6736,455,0
3,,2023-05-31 17:46:21,6,49140,42566,6574,455,0
3,,2023-05-31 17:46:22,6,49140,42566,6574,455,0
3,,2023-05-31 17:46:23,0,49140,42276,6864,455,0
3,,2023-05-31 17:46:24,3,49140,42564,6576,455,0
3,,2023-05-31 17:46:25,1,49140,42438,6702,455,0
3,,2023-05-31 17:46:26,2,49140,41922,7218,455,0
3,,2023-05-31 17:46:27,1,49140,42276,6864,455,0
3,,2023-05-31 17:46:28,2,49140,42310,6830,455,0
3,,2023-05-31 17:46:29,100,49140,42438,6702,455,0
3,,2023-05-31 17:46:30,94,49140,42438,6702,455,0
3,,2023-05-31 17:46:31,6,49140,41890,7250,455,0
3,,2023-05-31 17:46:32,6,49140,42276,6864,455,0
3,,2023-05-31 17:46:33,0,49140,42310,6830,455,0
3,,2023-05-31 17:46:34,1,49140,42438,6702,455,0
3,,2023-05-31 17:46:35,1,49140,42052,7088,455,0
3,,2023-05-31 17:46:36,1,49140,42438,6702,455,0
3,,2023-05-31 17:46:37,1,49140,42438,6702,455,0
3,,2023-05-31 17:46:38,2,49140,42276,6864,455,0
3,,2023-05-31 17:46:39,100,49140,42438,6702,455,0
3,,2023-05-31 17:46:40,100,49140,42146,6994,199,0
3,,2023-05-31 17:46:41,6,49140,42052,7088,455,0
3,,2023-05-31 17:46:42,4,49140,42438,6702,455,0
3,,2023-05-31 17:46:43,0,49140,42438,6702,455,0
3,,2023-05-31 17:46:44,4,49140,41920,7220,455,0
3,,2023-05-31 17:46:45,1,49140,42298,6842,455,0
3,,2023-05-31 17:46:46,2,49140,42298,6842,455,0
3,,2023-05-31 17:46:47,1,49140,42298,6842,455,0
3,,2023-05-31 17:46:48,2,49140,42396,6744,455,0
3,,2023-05-31 17:46:49,1,49140,42438,6702,455,0
3,,2023-05-31 17:46:50,100,49140,42052,7088,455,0
3,,2023-05-31 17:46:51,100,49140,42052,7088,455,0
3,,2023-05-31 17:46:52,7,49140,42310,6830,455,0
3,,2023-05-31 17:46:53,5,49140,42308,6832,455,0
3,,2023-05-31 17:46:54,21,49140,42308,6832,455,0
3,,2023-05-31 17:46:55,3,49140,42438,6702,455,0
3,,2023-05-31 17:46:56,3,49140,42438,6702,455,0
3,,2023-05-31 17:46:57,2,49140,42438,6702,455,0
3,,2023-05-31 17:46:58,2,49140,42050,7090,455,0
3,,2023-05-31 17:46:59,100,49140,41504,7636,455,0
3,,2023-05-31 17:47:00,10,49140,42438,6702,455,0
3,,2023-05-31 17:47:01,7,49140,41890,7250,455,0
3,,2023-05-31 17:47:02,4,49140,42052,7088,455,0
3,,2023-05-31 17:47:03,2,49140,42438,6702,455,0
3,,2023-05-31 17:47:04,2,49140,42148,6992,455,0
3,,2023-05-31 17:47:05,2,49140,42148,6992,455,0
3,,2023-05-31 17:47:06,3,49140,42148,6992,455,0
3,,2023-05-31 17:47:07,57,49140,42182,6958,455,0
3,,2023-05-31 17:47:08,100,49140,42438,6702,455,0
3,,2023-05-31 17:47:10,7,49140,42310,6830,455,0
3,,2023-05-31 17:47:11,7,49140,42310,6830,455,0
3,,2023-05-31 17:47:12,8,49140,42310,6830,455,0
3,,2023-05-31 17:47:13,2,49140,42438,6702,455,0
3,,2023-05-31 17:47:14,3,49140,42436,6704,455,0
3,,2023-05-31 17:47:15,3,49140,42438,6702,455,0
3,,2023-05-31 17:47:16,2,49140,42052,7088,455,0
3,,2023-05-31 17:47:17,100,49140,42310,6830,455,0
3,,2023-05-31 17:47:18,7,49140,42438,6702,455,0
3,,2023-05-31 17:47:19,6,49140,41890,7250,455,0
3,,2023-05-31 17:47:20,0,49140,42438,6702,455,0
3,,2023-05-31 17:47:21,6,49140,42438,6702,455,0
3,,2023-05-31 17:47:22,2,49140,42148,6992,455,0
3,,2023-05-31 17:47:23,2,49140,42438,6702,455,0
3,,2023-05-31 17:47:24,1,49140,42310,6830,455,0
3,,2023-05-31 17:47:25,1,49140,40730,8410,455,0
3,,2023-05-31 17:47:26,1,49140,42308,6832,455,0
3,,2023-05-31 17:47:27,100,49140,42180,6960,455,0
3,,2023-05-31 17:47:28,4,49140,42310,6830,455,0
3,,2023-05-31 17:47:29,3,49140,42308,6832,455,0
